"plot_id","monad","sample","title","caption","surv_habitat"
42360,"TQ1168",884186,"Wildflower survey","NPMS Management","Cutting / mowing"
42360,"TQ1168",884186,"Wildflower survey","NPMS Habitat","Neutral pastures and meadows"
42361,"TQ1168",884198,"Wildflower survey","NPMS Habitat","Neutral pastures and meadows"
42361,"TQ1168",884198,"Wildflower survey","NPMS Management","Cutting / mowing"
42363,"TQ1168",884203,"Wildflower survey","NPMS Management","Cutting / mowing"
42363,"TQ1168",884203,"Wildflower survey","NPMS Habitat","Neutral pastures and meadows"
42364,"TQ1168",884216,"Wildflower survey","NPMS Habitat","Nutrient-poor lakes and ponds"
42364,"TQ1168",884216,"Wildflower survey","NPMS Management","Other"
42364,"TQ1168",884216,"Wildflower survey","NPMS Grazing","Low"
42367,"TQ1168",884257,"Wildflower survey","NPMS Grazing","Low"
42367,"TQ1168",884257,"Wildflower survey","NPMS Management","Path, track or road works"
42367,"TQ1168",884257,"Wildflower survey","NPMS Habitat","Hedgerows of native species"
42420,"TQ2814",888635,"Indicator survey","NPMS Habitat","Dry deciduous woodland"
42420,"TQ2814",888635,"Indicator survey","NPMS Grazing","Low"
42420,"TQ2814",888635,"Indicator survey","NPMS Management","Scrub clearance / tree felling"
42508,"TQ2814",888639,"Indicator survey","NPMS Habitat","Wet woodland"
42508,"TQ2814",888639,"Indicator survey","NPMS Grazing","Low"
42508,"TQ2814",888639,"Indicator survey","NPMS Management","Other"
42509,"TQ2814",888640,"Indicator survey","NPMS Grazing","High"
42509,"TQ2814",888640,"Indicator survey","NPMS Management","Grazing - livestock"
42509,"TQ2814",888640,"Indicator survey","NPMS Habitat","Neutral pastures and meadows"
43815,"SW7338",908230,"Wildflower survey","NPMS Grazing","Moderate"
43815,"SW7338",908230,"Wildflower survey","NPMS Habitat","Nutrient-rich lakes and ponds"
43815,"SW7338",908230,"Wildflower survey","NPMS Management","Grazing - livestock"
43815,"SW7338",908230,"Wildflower survey","NPMS Management","Grazing - rabbits / deer"
43814,"SW7338",908256,"Wildflower survey","NPMS Habitat","Neutral pastures and meadows"
43814,"SW7338",908256,"Wildflower survey","NPMS Management","Grazing - livestock"
43814,"SW7338",908256,"Wildflower survey","NPMS Management","Grazing - rabbits / deer"
43814,"SW7338",908256,"Wildflower survey","NPMS Grazing","Moderate"
43904,"TQ2814",912549,"Indicator survey","NPMS Habitat","Dry calcareous grassland"
43904,"TQ2814",912549,"Indicator survey","NPMS Grazing","High"
43904,"TQ2814",912549,"Indicator survey","NPMS Management","Grazing - livestock"
43904,"TQ2814",912549,"Indicator survey","NPMS Management","Grazing - rabbits / deer"
43905,"TQ2814",912588,"Indicator survey","NPMS Management","Grazing - rabbits / deer"
43905,"TQ2814",912588,"Indicator survey","NPMS Habitat","Wet woodland"
43905,"TQ2814",912588,"Indicator survey","NPMS Grazing","Moderate"
43897,"SS8744",920756,"Inventory survey","NPMS Habitat","Dry heathland"
43897,"SS8744",920756,"Inventory survey","NPMS Management","Grazing - rabbits / deer"
43897,"SS8744",920756,"Inventory survey","NPMS Grazing","Low"
43896,"SS8744",920779,"Inventory survey","NPMS Habitat","Dry deciduous woodland"
43896,"SS8744",920779,"Inventory survey","NPMS Grazing","Moderate"
43896,"SS8744",920779,"Inventory survey","NPMS Management","Grazing - rabbits / deer"
44069,"NN8497",922942,"Wildflower survey","NPMS Habitat","Native conifer woods and juniper scrub"
44069,"NN8497",922942,"Wildflower survey","NPMS Grazing","Low"
44109,"SJ6206",924588,"Wildflower survey","NPMS Management","Cutting / mowing"
44109,"SJ6206",924588,"Wildflower survey","NPMS Habitat","Hedgerows of native species"
44109,"SJ6206",924588,"Wildflower survey","NPMS Grazing","Low"
44069,"NN8497",925317,"Indicator survey","NPMS Grazing","Low"
44069,"NN8497",925317,"Indicator survey","NPMS Habitat","Native conifer woods and juniper scrub"
44070,"NN8497",925351,"Indicator survey","NPMS Grazing","Low"
44070,"NN8497",925351,"Indicator survey","NPMS Habitat","Native conifer woods and juniper scrub"
44071,"NN8497",925413,"Indicator survey","NPMS Habitat","Native conifer woods and juniper scrub"
44071,"NN8497",925413,"Indicator survey","NPMS Grazing","Low"
44072,"NN8497",925467,"Indicator survey","NPMS Habitat","Dry heathland"
44073,"NN8497",925525,"Indicator survey","NPMS Habitat","Dry acid grassland"
44073,"NN8497",925525,"Indicator survey","NPMS Grazing","Low"
44073,"NN8497",925525,"Indicator survey","NPMS Management","Fenced to exclude grazing"
44141,"SJ6206",926509,"Wildflower survey","NPMS Management","Grazing - rabbits / deer"
44141,"SJ6206",926509,"Wildflower survey","NPMS Management","Path, track or road works"
44141,"SJ6206",926509,"Wildflower survey","NPMS Management","Scrub clearance / tree felling"
44141,"SJ6206",926509,"Wildflower survey","NPMS Grazing","Low"
44141,"SJ6206",926509,"Wildflower survey","NPMS Habitat","Wet woodland"
44128,"TQ1050",926922,"Wildflower survey","NPMS Habitat","Dry deciduous woodland"
44214,"TL0629",928776,"Indicator survey","NPMS Habitat","Neutral pastures and meadows"
44214,"TL0629",928776,"Indicator survey","NPMS Grazing","Moderate"
44214,"TL0629",928776,"Indicator survey","NPMS Management","Grazing - livestock"
44215,"TL0629",928781,"Indicator survey","NPMS Grazing","Low"
44215,"TL0629",928781,"Indicator survey","NPMS Habitat","Dry deciduous woodland"
44216,"TL0629",928802,"Indicator survey","NPMS Management","Other"
44216,"TL0629",928802,"Indicator survey","NPMS Grazing","Low"
44216,"TL0629",928802,"Indicator survey","NPMS Habitat","Arable field margins"
44216,"TL0629",928802,"Indicator survey","NPMS Management","Arable cropping"
44217,"TL0629",928818,"Indicator survey","NPMS Grazing","Low"
44217,"TL0629",928818,"Indicator survey","NPMS Habitat","Hedgerows of native species"
44225,"SK9826",929500,"Wildflower survey","NPMS Habitat","Dry calcareous grassland"
44225,"SK9826",929500,"Wildflower survey","NPMS Management","Fertilised to improve soil fertility"
44225,"SK9826",929500,"Wildflower survey","NPMS Management","Grazing - livestock"
44225,"SK9826",929500,"Wildflower survey","NPMS Grazing","Moderate"
44263,"SS2423",931623,"Indicator survey","NPMS Management","Fertilised to improve soil fertility"
44263,"SS2423",931623,"Indicator survey","NPMS Management","Herbicides to control weeds"
44263,"SS2423",931623,"Indicator survey","NPMS Habitat","Arable field margins"
44263,"SS2423",931623,"Indicator survey","NPMS Management","Arable cropping"
44264,"SS2423",931655,"Indicator survey","NPMS Habitat","Hedgerows of native species"
44264,"SS2423",931655,"Indicator survey","NPMS Management","Cutting / mowing"
44265,"SS2423",931814,"Indicator survey","NPMS Habitat","Neutral damp grassland"
44265,"SS2423",931814,"Indicator survey","NPMS Management","Cutting / mowing"
44226,"SK9826",931817,"Wildflower survey","NPMS Habitat","Hedgerows of native species"
44226,"SK9826",931817,"Wildflower survey","NPMS Management","Other"
44266,"SS2423",931824,"Indicator survey","NPMS Management","Cutting / mowing"
44266,"SS2423",931824,"Indicator survey","NPMS Management","Grazing - livestock"
44266,"SS2423",931824,"Indicator survey","NPMS Grazing","Low"
44266,"SS2423",931824,"Indicator survey","NPMS Management","Fertilised to improve soil fertility"
44266,"SS2423",931824,"Indicator survey","NPMS Habitat","Neutral pastures and meadows"
44273,"SE3463",931825,"Indicator survey","NPMS Habitat","Wet woodland"
44273,"SE3463",931825,"Indicator survey","NPMS Grazing","Low"
44273,"SE3463",931825,"Indicator survey","NPMS Management","Fenced to exclude grazing"
44227,"SK9826",931828,"Wildflower survey","NPMS Habitat","Wet woodland"
44274,"SE3463",931833,"Indicator survey","NPMS Grazing","Low"
44274,"SE3463",931833,"Indicator survey","NPMS Management","Cutting / mowing"
44274,"SE3463",931833,"Indicator survey","NPMS Habitat","Hedgerows of native species"
44228,"SK9826",931881,"Wildflower survey","NPMS Habitat","Dry calcareous grassland"
44228,"SK9826",931881,"Wildflower survey","NPMS Grazing","Moderate"
44228,"SK9826",931881,"Wildflower survey","NPMS Management","Grazing - livestock"
44229,"SK9826",931906,"Wildflower survey","NPMS Management","Herbicides to control weeds"
44229,"SK9826",931906,"Wildflower survey","NPMS Habitat","Arable field margins"
44229,"SK9826",931906,"Wildflower survey","NPMS Management","Arable cropping"
44267,"SS2423",932579,"Indicator survey","NPMS Habitat","Dry deciduous woodland"
44267,"SS2423",932579,"Indicator survey","NPMS Grazing","Low"
44288,"SE2589",932789,"Indicator survey","NPMS Management","Arable cropping"
44288,"SE2589",932789,"Indicator survey","NPMS Habitat","Arable field margins"
44289,"SE2589",932840,"Indicator survey","NPMS Habitat","Hedgerows of native species"
44290,"SE2589",932853,"Indicator survey","NPMS Habitat","Wet woodland"
44291,"SE2589",932858,"Indicator survey","NPMS Habitat","Neutral pastures and meadows"
44291,"SE2589",932858,"Indicator survey","NPMS Grazing","Low"
44292,"SE2589",932860,"Indicator survey","NPMS Grazing","Low"
