nameRec,UnifiedPlusInd
Abies alba,Abies alba
Acer,Acer
Acer campestre,Acer campestre
Acer platanoides,Acer platanoides
Acer pseudoplatanus,Acer pseudoplatanus
Achillea,Achillea
Achillea ageratum,Achillea ageratum
Achillea millefolium,Achillea millefolium
Achillea ptarmica,Achillea ptarmica
Acorus calamus,Acorus calamus
Adiantum,Adiantum
Adoxa moschatellina,Adoxa moschatellina
Aegopodium podagraria,Aegopodium podagraria
Aesculus hippocastanum,Aesculus hippocastanum
Aethusa cynapium,Aethusa cynapium
Agrimonia,Agrimonia eupatoria
Agrimonia eupatoria,Agrimonia eupatoria
Agrimonia eupatoria x procera = A. x wirtgenii,Agrimonia eupatoria
Agrimonia procera,Agrimonia procera
Agrostis,Agrostis
Agrostis canina,Agrostis canina
Agrostis canina sensu lato,Agrostis canina sensu lato
Agrostis capillaris,Agrostis capillaris
Agrostis curtisii,Agrostis curtisii
Agrostis gigantea,Agrostis gigantea
Agrostis stolonifera,Agrostis stolonifera
Agrostis vinealis,Agrostis vinealis
Aira caryophyllea,Aira caryophyllea
Aira praecox,Aira praecox
Ajuga pyramidalis,Ajuga pyramidalis
Ajuga reptans,Ajuga reptans
Alchemilla,Alchemilla
Alchemilla alpina,Alchemilla alpina
Alchemilla filicaulis subsp. vestita,Alchemilla filicaulis subsp. vestita
Alchemilla glabra,Alchemilla glabra
Alchemilla mollis,Alchemilla mollis
Alchemilla vulgaris agg.,Alchemilla vulgaris agg.
Alchemilla xanthochlora,Alchemilla xanthochlora
Alisma plantago-aquatica,Alisma plantago-aquatica
Alliaria,Alliaria petiolata
Alliaria petiolata,Alliaria petiolata
Allium,Allium
Allium sativum,Allium sativum
Allium spp.,Allium spp.
Allium triquetrum,Allium triquetrum
Allium ursinum,Allium ursinum
Allium vineale,Allium vineale
Alnus glutinosa,Alnus glutinosa
Alnus incana,Alnus incana
Alopecurus,Alopecurus
Alopecurus geniculatus,Alopecurus geniculatus
Alopecurus myosuroides,Alopecurus myosuroides
Alopecurus pratensis,NA
Althaea officinalis,NA
Amaranthus hybridus,NA
Ammophila arenaria,Ammophila arenaria
Anacamptis pyramidalis,NA
Anagallis,NA
Anagallis arvensis,Anagallis arvensis
Anagallis arvensis subsp. foemina,NA
Anagallis tenella,Anagallis tenella
Anchusa arvensis,NA
Anchusa ochroleuca x officinalis = A. x baumgartenii,NA
Anemone nemorosa,Anemone nemorosa
Angelica,NA
Angelica archangelica,NA
Angelica sylvestris,Angelica sylvestris
Antennaria dioica,Antennaria dioica
Anthemis,NA
Anthemis arvensis,NA
Anthemis cotula,Anthemis cotula
Anthoxanthum,NA
Anthoxanthum aristatum,NA
Anthoxanthum odoratum,Anthoxanthum odoratum
Anthoxanthum ovatum,NA
Anthriscus caucalis,NA
Anthriscus sylvestris,Anthriscus sylvestris
Anthyllis vulneraria,Anthyllis vulneraria
Aphanes arvensis,NA
Aphanes arvensis agg.,NA
Aphanes australis,NA
Apiaceae,NA
Apium graveolens,Apium graveolens
Apium inundatum,NA
Apium nodiflorum,Apium nodiflorum
Arabidopsis thaliana,NA
Arabis hirsuta,Arabis hirsuta
Arctium,NA
Arctium lappa,NA
Arctium minus,NA
Arctium minus/nemorosum,Arctium minus/nemorosum
Arctium nemorosum,NA
Arenaria serpyllifolia,NA
Armeria,NA
Armeria maritima,Armeria maritima
Armeria maritima subsp. maritima,NA
Armoracia rusticana,NA
Arrhenatherum,NA
Arrhenatherum elatius,NA
Artemisia,NA
Artemisia campestris,NA
Artemisia vulgaris,NA
Arum,NA
Arum italicum,NA
Arum maculatum,Arum maculatum
Asperula cynanchica,NA
Asplenium,NA
Asplenium adiantum-nigrum,NA
Asplenium adiantum-nigrum x septentrionale = A. x contrei,NA
Asplenium ruta-muraria,Asplenium ruta-muraria
Asplenium trichomanes,Asplenium trichomanes
Asplenium viride,NA
Aster,NA
Aster agg.,NA
Aster tripolium,Aster tripolium
Aster tripolium var. discoideus,NA
Asteraceae,NA
Astragalus danicus,NA
Astragalus glycyphyllos,NA
Astragalus hamosus,NA
Athyrium filix-femina,NA
Atriplex,NA
Atriplex glabriuscula,NA
Atriplex glabriuscula x longipes = A. x taschereaui,NA
Atriplex laciniata,NA
Atriplex littoralis,NA
Atriplex patula,NA
Atriplex portulacoides,Atriplex portulacoides
Atriplex prostrata,NA
Atropa belladonna,NA
Avena fatua,NA
Avena sativa,NA
