nameRec,UnifiedPlusInd
Abies alba,Abies alba
Acer,Acer
Acer campestre,Acer campestre
Acer platanoides,Acer platanoides
Acer pseudoplatanus,Acer pseudoplatanus
Achillea,Achillea
Achillea ageratum,Achillea ageratum
Achillea millefolium,Achillea millefolium
Achillea ptarmica,Achillea ptarmica
Acorus calamus,Acorus calamus
Adiantum,Adiantum
Adoxa moschatellina,Adoxa moschatellina
Aegopodium podagraria,Aegopodium podagraria
Aesculus hippocastanum,Aesculus hippocastanum
Aethusa cynapium,Aethusa cynapium
Agrimonia,Agrimonia eupatoria
Agrimonia eupatoria,Agrimonia eupatoria
Agrimonia eupatoria x procera = A. x wirtgenii,Agrimonia eupatoria
Agrimonia procera,Agrimonia procera
Agrostis,Agrostis
Agrostis canina,Agrostis canina
Agrostis canina sensu lato,Agrostis canina sensu lato
Agrostis capillaris,Agrostis capillaris
Agrostis curtisii,Agrostis curtisii
Agrostis gigantea,Agrostis gigantea
Agrostis stolonifera,Agrostis stolonifera
Agrostis vinealis,Agrostis vinealis
Aira caryophyllea,Aira caryophyllea
Aira praecox,Aira praecox
Ajuga pyramidalis,Ajuga pyramidalis
Ajuga reptans,Ajuga reptans
Alchemilla,Alchemilla
Alchemilla alpina,Alchemilla alpina
Alchemilla filicaulis subsp. vestita,Alchemilla filicaulis subsp. vestita
Alchemilla glabra,Alchemilla glabra
Alchemilla mollis,Alchemilla mollis
Alchemilla vulgaris agg.,Alchemilla vulgaris agg.
Alchemilla xanthochlora,Alchemilla xanthochlora
Alisma plantago-aquatica,Alisma plantago-aquatica
Alliaria,Alliaria petiolata
Alliaria petiolata,Alliaria petiolata
Allium,Allium
Allium sativum,Allium sativum
Allium spp.,Allium spp.
Allium triquetrum,Allium triquetrum
Allium ursinum,Allium ursinum
Allium vineale,Allium vineale
Alnus glutinosa,Alnus glutinosa
Alnus incana,Alnus incana
Alopecurus,Alopecurus
Alopecurus geniculatus,Alopecurus geniculatus
Alopecurus myosuroides,Alopecurus myosuroides
Alopecurus pratensis,Alopecurus pratensis
Althaea officinalis,Althaea officinalis
Amaranthus hybridus,Amaranthus hybridus
Ammophila arenaria,Ammophila arenaria
Anacamptis pyramidalis,Anacamptis pyramidalis
Anagallis,Anagallis arvensis
Anagallis arvensis,Anagallis arvensis
Anagallis arvensis subsp. foemina,Anagallis arvensis
Anagallis tenella,Anagallis tenella
Anchusa arvensis,Anchusa arvensis
Anchusa ochroleuca x officinalis = A. x baumgartenii,Anchusa ochroleuca x officinalis = A. x baumgartenii
Anemone nemorosa,Anemone nemorosa
Angelica,Angelica sylvestris
Angelica archangelica,Angelica archangelica
Angelica sylvestris,Angelica sylvestris
Antennaria dioica,Antennaria dioica
Anthemis,Anthemis
Anthemis arvensis,Anthemis arvensis
Anthemis cotula,Anthemis cotula
Anthoxanthum,Anthoxanthum odoratum
Anthoxanthum aristatum,Anthoxanthum aristatum
Anthoxanthum odoratum,Anthoxanthum odoratum
Anthoxanthum ovatum,Anthoxanthum odoratum
Anthriscus caucalis,Anthriscus caucalis
Anthriscus sylvestris,Anthriscus sylvestris
Anthyllis vulneraria,Anthyllis vulneraria
Aphanes arvensis,Aphanes arvensis agg.
Aphanes arvensis agg.,Aphanes arvensis agg.
Aphanes australis,Aphanes arvensis agg.
Apiaceae,Apiaceae
Apium graveolens,Apium graveolens
Apium inundatum,Apium inundatum
Apium nodiflorum,Apium nodiflorum
Arabidopsis thaliana,Arabidopsis thaliana
Arabis hirsuta,Arabis hirsuta
Arctium,Arctium minus/nemorosum
Arctium lappa,Arctium lappa
Arctium minus,Arctium minus/nemorosum
Arctium minus/nemorosum,Arctium minus/nemorosum
Arctium nemorosum,Arctium minus/nemorosum
Arenaria serpyllifolia,Arenaria serpyllifolia
Armeria,Armeria maritima
Armeria maritima,Armeria maritima
Armeria maritima subsp. maritima,Armeria maritima
Armoracia rusticana,Armoracia rusticana
Arrhenatherum,Arrhenatherum elatius
Arrhenatherum elatius,Arrhenatherum elatius
Artemisia,Artemisia vulgaris
Artemisia campestris,Artemisia campestris
Artemisia vulgaris,Artemisia vulgaris
Arum,Arum maculatum
Arum italicum,Arum maculatum
Arum maculatum,Arum maculatum
Asperula cynanchica,Asperula cynanchica
Asplenium,Asplenium
Asplenium adiantum-nigrum,Asplenium adiantum-nigrum
Asplenium adiantum-nigrum x septentrionale = A. x contrei,Asplenium adiantum-nigrum
